NUM_LANE, NUM_LANE_SELF, AVG_CAR_PER_SEC, SELF_RATIO, SELF_INIT_V, HUMN_INIT_V, queueSelf.size, queueHumn.size
4, 0, 2, 0, 28, 24, 0, 79
4, 0, 2.2, 0, 28, 24, 0, 792
4, 0, 2.4, 0, 28, 24, 0, 1508
4, 0, 2.6, 0, 28, 24, 0, 2241
4, 0, 2.8, 0, 28, 24, 0, 2963
4, 0, 3, 0, 28, 24, 0, 3679
4, 0, 3.2, 0, 28, 24, 0, 4401
4, 0, 3.4, 0, 28, 24, 0, 5113
4, 0, 3.6, 0, 28, 24, 0, 5840
4, 0, 3.8, 0, 28, 24, 0, 6553
4, 0, 4, 0, 28, 24, 0, 7276
4, 0, 4.2, 0, 28, 24, 0, 7987
4, 0, 4.4, 0, 28, 24, 0, 8716
4, 0, 4.6, 0, 28, 24, 0, 9420
4, 0, 4.8, 0, 28, 24, 0, 10157
4, 0, 2, 0.02, 28, 24, 1, 66
4, 0, 2.2, 0.02, 28, 24, 17, 770
4, 0, 2.4, 0.02, 28, 24, 32, 1473
4, 0, 2.6, 0.02, 28, 24, 45, 2191
4, 0, 2.8, 0.02, 28, 24, 57, 2896
4, 0, 3, 0.02, 28, 24, 75, 3592
4, 0, 3.2, 0.02, 28, 24, 95, 4291
4, 0, 3.4, 0.02, 28, 24, 107, 4995
4, 0, 3.6, 0.02, 28, 24, 127, 5712
4, 0, 3.8, 0.02, 28, 24, 124, 6423
4, 0, 4, 0.02, 28, 24, 148, 7127
4, 0, 4.2, 0.02, 28, 24, 165, 7826
4, 0, 4.4, 0.02, 28, 24, 168, 8532
4, 0, 4.6, 0.02, 28, 24, 179, 9258
4, 0, 4.8, 0.02, 28, 24, 219, 9935
4, 0, 2, 0.04, 28, 24, 7, 61
4, 0, 2.2, 0.04, 28, 24, 19, 757
4, 0, 2.4, 0.04, 28, 24, 59, 1451
4, 0, 2.6, 0.04, 28, 24, 80, 2143
4, 0, 2.8, 0.04, 28, 24, 110, 2830
4, 0, 3, 0.04, 28, 24, 129, 3542
4, 0, 3.2, 0.04, 28, 24, 184, 4199
4, 0, 3.4, 0.04, 28, 24, 218, 4889
4, 0, 3.6, 0.04, 28, 24, 231, 5592
4, 0, 3.8, 0.04, 28, 24, 271, 6272
4, 0, 4, 0.04, 28, 24, 277, 6988
4, 0, 4.2, 0.04, 28, 24, 334, 7640
4, 0, 4.4, 0.04, 28, 24, 347, 8361
4, 0, 4.6, 0.04, 28, 24, 381, 9045
4, 0, 4.8, 0.04, 28, 24, 421, 9732
4, 0, 2, 0.06, 28, 24, 4, 57
4, 0, 2.2, 0.06, 28, 24, 47, 730
4, 0, 2.4, 0.06, 28, 24, 83, 1411
4, 0, 2.6, 0.06, 28, 24, 162, 2066
4, 0, 2.8, 0.06, 28, 24, 156, 2787
4, 0, 3, 0.06, 28, 24, 223, 3440
4, 0, 3.2, 0.06, 28, 24, 277, 4107
4, 0, 3.4, 0.06, 28, 24, 321, 4792
4, 0, 3.6, 0.06, 28, 24, 373, 5453
